order_item_id,order_id,plant_id,quantity,unit_price,line_subtotal,discount_amount,tax_amount,shipping_amount,estimated_margin
1,300001,144,2,37.49,74.98,5.0,6.16,0.0,19.76
2,300002,275,1,11.36,11.36,0.0,1.0,0.0,3.87
3,300003,484,1,24.85,24.85,0.0,2.19,0.0,12.24
4,300004,208,1,19.38,19.38,0.0,1.71,0.0,6.33
5,300004,60,1,6.58,6.58,0.0,0.58,0.0,2.28
6,300004,500,1,59.69,59.69,0.0,5.25,0.0,31.27
7,300005,332,1,20.95,20.95,0.0,1.84,4.04,9.48
8,300005,161,2,40.52,81.04,0.0,7.13,6.71,43.28
9,300006,127,1,17.39,17.39,1.74,1.38,5.81,6.17
10,300007,308,1,27.89,27.89,0.0,2.45,8.87,15.55
11,300007,418,2,15.33,30.66,0.0,2.7,8.92,15.36
12,300007,269,2,16.52,33.04,0.0,2.91,7.88,9.74
13,300008,399,1,19.43,19.43,1.94,1.54,6.77,7.1
14,300008,485,1,51.89,51.89,5.19,4.11,6.3,18.65
15,300008,73,1,20.24,20.24,2.02,1.6,7.56,5.85
16,300009,242,1,20.28,20.28,0.0,1.78,0.0,9.37
17,300009,376,1,6.61,6.61,0.0,0.58,0.0,3.08
18,300010,261,1,37.87,37.87,3.79,3.0,0.0,9.62
19,300011,242,1,18.8,18.8,1.88,1.49,4.57,6.01
20,300012,39,2,16.83,33.66,0.0,2.96,8.95,16.8
21,300013,520,3,30.65,91.95,0.0,8.09,7.25,43.98
22,300013,305,3,61.56,184.68,0.0,16.25,6.57,74.01
23,300014,342,2,91.91,183.82,0.0,16.18,0.0,63.3
24,300014,456,2,54.14,108.28,0.0,9.53,0.0,50.72
25,300015,97,2,7.5,15.0,1.5,1.19,4.15,2.76
26,300016,31,2,4.07,8.14,0.0,0.72,4.58,3.98
27,300016,261,2,41.24,82.48,0.0,7.26,5.92,33.56
28,300016,337,2,21.67,43.34,0.0,3.81,7.65,21.52
29,300017,104,1,11.0,11.0,0.0,0.97,0.0,6.05
30,300018,160,1,41.14,41.14,0.0,3.62,5.57,20.98
31,300018,200,1,3.12,3.12,0.0,0.27,6.2,1.6
32,300018,281,1,10.35,10.35,0.0,0.91,6.87,5.09
33,300018,492,1,60.99,60.99,0.0,5.37,8.56,24.14
