return_id,order_item_id,order_id,customer_id,plant_id,return_reason_id,return_ts,quantity_returned,refund_amount,restocking_fee,promotion_id
1,16,300009,1444,683,4,2023-07-16 07:18:16,1,8.05,0.0,
2,27,300016,5374,129,5,2025-05-29 02:07:40,1,12.44,0.0,
3,69,300040,2961,57,1,2025-03-17 09:46:34,1,91.09,0.0,
4,79,300044,2815,718,5,2024-06-21 06:03:41,1,24.85,0.0,
5,130,300071,5426,623,5,2024-05-25 23:05:46,1,32.5,0.0,
6,149,300080,6222,152,3,2024-05-04 08:36:50,1,16.77,0.0,
7,152,300082,7911,684,2,2025-07-12 22:27:04,1,20.96,0.0,3.0
8,207,300112,2904,229,4,2023-02-07 22:10:39,1,15.46,0.0,
9,217,300119,7287,156,2,2025-08-13 18:03:36,1,16.45,0.0,
10,246,300130,4076,404,5,2025-07-11 02:45:42,1,9.96,0.0,2.0
11,259,300138,6367,281,2,2024-02-21 07:06:34,1,20.46,0.0,
12,262,300140,2306,252,1,2023-06-21 11:49:31,1,6.08,0.0,
13,303,300163,6881,350,6,2025-09-11 12:50:58,1,19.32,0.0,
14,345,300186,6512,254,3,2024-01-29 11:20:58,1,27.19,3.02,
15,354,300190,8740,683,3,2024-08-06 02:50:24,1,8.31,0.0,
16,355,300191,679,193,5,2023-09-03 03:27:45,1,6.73,0.0,
17,381,300204,4435,313,4,2025-01-11 09:58:11,1,19.69,0.0,
18,400,300214,7663,476,1,2024-10-08 11:16:46,1,14.98,0.0,
19,435,300232,4395,600,4,2024-06-08 18:42:04,1,46.58,0.0,3.0
20,491,300258,2029,326,4,2024-06-06 20:19:16,1,9.47,0.0,
21,560,300293,3020,40,6,2025-01-14 13:52:51,1,53.91,0.0,
22,576,300305,4609,333,2,2025-09-07 19:43:27,1,5.34,0.0,
23,662,300352,8803,512,5,2023-07-30 08:13:27,1,36.65,0.0,
24,668,300356,4892,348,1,2025-01-24 06:43:33,1,12.83,0.0,
25,691,300370,4655,130,1,2025-01-10 05:56:40,1,29.54,0.0,
26,695,300371,7699,310,1,2024-04-12 23:51:32,1,11.62,0.0,
27,721,300386,330,242,5,2023-12-03 09:18:27,1,14.13,0.0,
28,728,300389,5128,616,1,2024-04-20 09:55:06,1,15.34,0.0,
29,735,300395,1026,485,5,2023-08-16 16:33:23,1,15.39,0.0,
30,770,300412,5607,39,5,2024-03-24 05:33:21,1,41.15,0.0,
31,775,300415,5983,55,4,2024-03-29 13:53:09,1,109.37,0.0,
32,784,300422,7146,320,1,2024-12-12 14:53:05,1,10.97,0.0,
33,797,300431,8503,672,4,2023-02-09 20:21:28,1,64.2,0.0,
